"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 14 01:19:52 UTC 2026","Tue Apr 14 01:19:52 UTC 2026","0","tests.admin_panel.promo","test_76_get_promotion_items","","","","test_get_promotion_item_forbidden[partner]","Негативный тест: получение элемента акции не-админом запрещено"
"broken","Tue Apr 14 01:11:21 UTC 2026","Tue Apr 14 01:11:21 UTC 2026","0","tests.admin_panel.items","test_update_item","","","","test_update_item_invalid_id[abc]","Негативный тест: несуществующий или некорректный ID."
"skipped","Tue Apr 14 01:04:20 UTC 2026","Tue Apr 14 01:04:20 UTC 2026","0","tests.account","test_account_branded_wallet_get","","","","test_get_period_zero_returns_400[client]","
    Негатив: период по нулям → 400.
    "
"broken","Tue Apr 14 01:10:38 UTC 2026","Tue Apr 14 01:10:38 UTC 2026","0","tests.admin_panel.items","test_create_item","","","","test_create_item_invalid_payload[payload8-expected_code8]","
    Негативный тест: создание варианта с невалидным телом запроса.
    Если сервер внезапно вернул успех — удаляем созданный item из БД.
    "
"skipped","Tue Apr 14 01:23:52 UTC 2026","Tue Apr 14 01:23:52 UTC 2026","0","tests.account","test_pass_change","","","","test_change_password_positive[admin-payload0]","Позитивные тесты на изменение пароля"
"passed","Tue Apr 14 01:21:18 UTC 2026","Tue Apr 14 01:21:19 UTC 2026","772","tests.admin_panel.categories","test_81_delete_category_translation","","","","test_delete_category_translation_invalid_id[0]","Негативный тест: удаление перевода с невалидным ID категории."
"skipped","Tue Apr 14 01:28:33 UTC 2026","Tue Apr 14 01:28:33 UTC 2026","0","tests.sockets","test_ws_chat_protocol","","","","test_second_login_after_auth_is_idempotent[partner]","
    Повторный login после успешной авторизации НЕ должен ломать соединение
    "
"broken","Tue Apr 14 01:25:53 UTC 2026","Tue Apr 14 01:25:53 UTC 2026","0","tests.admin_panel.products","test_01_recommended_products_sort","","","","test_sort_recommendations_no_rights[partner]","Пользователь без прав пытается отсортировать рекомендации"
"passed","Tue Apr 14 01:20:19 UTC 2026","Tue Apr 14 01:20:20 UTC 2026","566","tests.catalog","test_product_get_by_slug","","","","test_get_product_by_slug_wrong_method[post-client]","
    Негативный: неверный HTTP-метод для GET /products/{slug}
    "
"passed","Tue Apr 14 01:04:57 UTC 2026","Tue Apr 14 01:04:58 UTC 2026","591","tests.one_c","test_free_delivery_to_regions_and_cities","","","","test_1c_free_delivery_bad_request_for_invalid_id_1c_type",""
"skipped","Tue Apr 14 01:23:52 UTC 2026","Tue Apr 14 01:23:52 UTC 2026","0","tests.account","test_update","","","","test_update_account_positive[admin-payload1]","Позитивные тесты на обновление данных аккаунта"
"skipped","Tue Apr 14 01:27:07 UTC 2026","Tue Apr 14 01:27:07 UTC 2026","0","tests.catalog","test_exclusive_preorder_products_list","","","","test_products_list_exclusive_flags_types_contract[client]","
    Жёсткий контракт по типам:
      - если is_exclusive_preorder_only присутствует => bool
      - если is_visible присутствует => bool
      - если in_stock присутствует => int
    "
"broken","Tue Apr 14 01:05:06 UTC 2026","Tue Apr 14 01:05:06 UTC 2026","0","tests.admin_panel.sliders","test_54_update_slider","","","","test_update_slider_invalid_payload[payload6-400]","Негативный тест: обновление слайдера с невалидным или неполным телом запроса."
"broken","Tue Apr 14 01:22:20 UTC 2026","Tue Apr 14 01:22:20 UTC 2026","0","tests.admin_panel.products","test_02_recommended_products_add","","","","test_add_recommendation_no_rights[client]","Пользователь без прав пытается добавить рекомендации"
"passed","Tue Apr 14 01:08:04 UTC 2026","Tue Apr 14 01:08:05 UTC 2026","561","tests.admin_panel.slides","test_57_create_slide","","","","test_create_slide_forbidden[partner]","Негативный тест: создание слайда не-админом запрещено"
"passed","Tue Apr 14 00:52:16 UTC 2026","Tue Apr 14 00:52:16 UTC 2026","588","tests.one_c","test_cart_calculate_full_coverage","","","","test_bonus_info_invalid_types[bonus_to_money-0.01]",""
"passed","Tue Apr 14 01:10:53 UTC 2026","Tue Apr 14 01:10:54 UTC 2026","570","tests.orders","test_create_order_by_delivery_address","","","","test_create_order_invalid_data[invalid_payload2-expected_status2-client]",""
